id_vehiculo,fecha,hora,ondas,temp_motor,vibracion,presion,humedad,voltaje,velocidad,bateria1,bateria2,dist_supercharger1,dist_supercharger2
24596,14.07.2022,13:23:54,0.722,89.5,0.944,2.51,0.95,395.1,44.8,44.0,95.2,28.8,284.9
24596,14.07.2022,16:54:59,0.805,96.7,0.777,3.87,0.97,400.1,50.3,75.2,43.5,221.9,295.3
24596,14.07.2022,18:02:51,0.704,85.8,0.852,2.61,0.77,372.6,44.9,69.1,69.0,337.2,937.6
24596,14.07.2022,23:44:46,0.882,90.1,0.917,2.81,0.76,387.3,56.3,34.2,74.8,378.4,800.6
24596,14.07.2022,21:28:39,0.948,91.3,0.989,2.34,0.87,349.6,71.8,67.1,93.2,371.1,296.7
24596,14.07.2022,19:59:20,0.857,89.8,0.894,2.34,0.88,384.1,74.2,90.6,49.4,320.7,926.2
24596,14.07.2022,23:29:13,0.908,92.4,0.851,3.36,0.87,385.0,42.4,27.5,70.5,305.1,534.2
24596,14.07.2022,20:16:37,0.947,97.6,0.939,2.07,0.86,355.4,72.3,61.5,95.1,146.2,505.6
24596,14.07.2022,13:48:29,0.953,94.2,0.805,2.99,0.83,339.3,41.4,91.5,62.5,16.8,756.9
24596,14.07.2022,15:52:09,0.846,86.7,0.979,3.37,0.91,350.4,60.9,94.0,53.7,252.0,928.3
24596,14.07.2022,13:36:29,0.77,88.0,0.88,2.82,0.87,428.9,47.6,75.9,93.8,366.0,287.1
24596,14.07.2022,20:34:55,0.745,87.2,0.901,2.25,0.94,351.0,58.2,97.7,83.0,408.7,325.9
24596,14.07.2022,16:21:02,0.927,91.1,0.866,3.73,0.85,417.9,48.3,99.7,77.4,195.9,395.0
24596,14.07.2022,18:03:50,0.967,91.2,0.762,2.47,0.9,423.1,69.5,38.3,58.6,50.7,494.1
24596,14.07.2022,21:17:12,0.959,91.2,0.825,2.77,0.77,369.2,54.8,47.4,76.5,447.0,452.3
24596,14.07.2022,21:46:44,0.836,89.2,0.838,3.9,0.79,350.0,47.1,60.5,87.7,244.6,373.1
24596,14.07.2022,19:10:37,0.985,88.5,0.755,2.1,0.89,378.0,59.7,91.1,76.4,201.5,750.3
24596,14.07.2022,18:03:52,0.755,86.7,0.751,3.04,0.97,415.3,44.7,33.5,89.4,290.8,547.0
24596,14.07.2022,17:45:32,0.856,85.4,0.942,3.85,0.82,350.3,50.0,97.2,66.8,227.0,900.0
24596,14.07.2022,14:45:54,0.909,90.5,0.804,3.32,0.86,350.2,72.3,86.3,48.7,409.8,646.7
24596,14.07.2022,20:40:00,0.777,99.6,0.811,2.03,0.76,346.4,73.7,63.1,72.8,395.4,523.9
24596,14.07.2022,13:50:05,0.789,94.5,0.883,2.62,0.87,352.3,63.9,86.8,75.3,193.7,358.8
24596,14.07.2022,21:01:20,0.722,96.1,0.814,3.58,0.84,403.2,53.5,60.0,40.0,101.7,425.1
24596,14.07.2022,21:24:29,0.733,95.4,0.819,2.23,1.0,396.8,50.7,46.3,66.6,444.3,453.4
24596,14.07.2022,13:01:28,0.894,89.9,1.0,3.71,0.81,402.2,79.9,75.1,73.3,202.5,644.0
24596,14.07.2022,19:48:34,0.795,89.0,0.764,2.64,0.98,335.6,75.7,36.3,51.5,77.4,448.6
24596,14.07.2022,21:37:33,0.841,92.2,0.94,3.59,0.93,363.8,67.2,97.9,40.0,47.3,389.0
24596,14.07.2022,21:40:12,0.742,98.7,0.786,2.79,0.89,359.4,65.5,57.7,67.3,440.9,700.9
24596,14.07.2022,19:48:10,0.778,88.0,0.81,2.56,0.84,385.2,66.1,72.2,61.2,474.3,492.9
24596,14.07.2022,16:03:37,0.774,89.3,0.817,3.21,0.93,407.1,73.9,26.5,57.7,322.5,542.2
24596,14.07.2022,19:10:16,0.766,86.6,0.941,3.02,0.82,400.6,74.8,94.9,74.6,236.6,277.6
24596,14.07.2022,20:16:40,0.714,96.6,0.981,3.96,0.87,337.1,79.3,56.4,93.7,162.0,857.8
24596,14.07.2022,22:41:10,0.711,87.5,0.978,2.34,0.8,377.4,48.9,26.0,98.3,136.8,629.7
24596,14.07.2022,18:09:58,0.956,90.5,0.887,2.01,0.95,366.0,63.3,91.3,42.1,371.8,318.9
24596,14.07.2022,14:08:13,0.7,90.6,0.953,2.27,0.79,335.8,68.7,46.0,89.0,86.0,689.4
24596,14.07.2022,19:37:06,0.783,88.3,0.966,2.37,0.92,399.1,67.3,80.4,70.8,174.8,384.5
24596,14.07.2022,16:05:33,0.898,95.9,0.846,3.22,0.93,354.5,76.4,54.6,95.0,131.6,585.6
24596,14.07.2022,17:14:14,0.828,88.0,0.887,3.79,0.76,403.2,66.6,60.6,60.5,455.6,478.6
24596,14.07.2022,17:22:18,0.792,98.1,0.941,2.32,0.81,365.5,63.4,28.1,61.7,86.6,945.4
24596,14.07.2022,17:25:51,0.74,96.0,0.855,2.01,0.86,407.9,58.5,77.5,71.8,147.3,715.4
24596,14.07.2022,18:38:26,0.713,94.9,0.889,2.99,0.94,383.9,51.5,73.0,49.0,190.1,745.6
24596,14.07.2022,14:43:52,0.97,86.3,0.944,3.04,0.84,388.9,61.7,51.0,48.9,68.0,598.7
24596,14.07.2022,15:04:17,0.985,85.6,0.962,3.65,0.9,395.4,67.7,45.1,65.9,65.8,690.0
24596,14.07.2022,15:37:21,0.888,92.1,0.771,3.37,0.76,364.3,48.4,84.9,83.8,35.0,626.8
24596,14.07.2022,17:44:02,0.89,94.1,0.878,2.65,0.82,404.5,74.9,20.1,42.3,172.5,867.2
24596,14.07.2022,23:30:08,0.968,92.6,0.91,2.12,0.89,365.1,42.8,83.0,59.5,86.9,791.0
24596,14.07.2022,21:19:08,0.82,85.0,0.775,3.46,0.97,437.1,71.8,28.1,98.9,257.1,320.8
24596,14.07.2022,17:47:45,0.986,87.4,0.993,3.97,0.77,351.1,44.5,47.8,93.8,121.7,835.2
24596,14.07.2022,15:45:56,0.743,91.3,0.757,3.26,0.89,362.9,54.5,57.0,64.4,468.5,394.1
24596,14.07.2022,13:05:03,0.753,87.3,0.795,2.02,0.95,370.3,60.6,67.6,63.4,17.8,888.0
24596,14.07.2022,21:38:58,0.963,86.5,0.973,2.04,0.84,332.9,66.7,92.7,68.4,466.9,426.2
24596,14.07.2022,20:11:49,0.767,97.0,0.811,3.62,0.91,389.7,56.7,82.8,96.9,127.6,287.1
24596,14.07.2022,23:12:24,0.874,99.5,0.9,3.37,0.77,377.3,42.1,42.4,87.1,387.8,428.8
24596,14.07.2022,16:40:53,0.828,93.7,0.894,3.49,0.8,351.1,73.8,36.2,76.7,423.8,618.1
24596,14.07.2022,16:30:22,0.76,90.6,0.78,2.35,0.77,411.2,54.4,83.6,48.1,206.2,684.8
24596,14.07.2022,22:14:10,0.866,86.9,0.865,3.01,0.98,437.3,52.5,78.1,41.1,220.2,366.8
24596,14.07.2022,20:22:02,0.798,86.1,0.851,2.78,0.99,339.7,76.9,26.6,60.9,329.0,302.6
24596,14.07.2022,16:31:22,0.873,99.6,0.812,3.31,0.91,335.7,44.2,78.4,96.2,317.2,436.2
24596,14.07.2022,22:46:37,0.704,96.9,0.992,3.24,0.79,387.2,73.0,60.8,80.4,464.3,637.9
24596,14.07.2022,13:45:36,0.795,93.1,0.792,2.85,0.97,336.8,64.6,34.7,50.6,250.3,832.1
24596,14.07.2022,16:33:32,0.778,99.1,0.763,2.02,0.91,367.1,75.5,82.5,46.1,138.5,359.1
24596,14.07.2022,22:08:53,0.859,92.0,0.913,2.56,1.0,334.6,77.0,94.9,56.4,13.9,557.6
24596,14.07.2022,13:56:44,0.976,85.6,0.762,3.59,0.89,393.7,61.4,75.8,94.8,2.8,479.3
24596,14.07.2022,16:31:04,0.767,88.6,0.822,3.47,0.77,362.7,50.9,98.1,91.4,277.0,569.4
24596,14.07.2022,14:04:38,0.78,88.4,0.827,3.4,0.84,403.4,60.2,96.8,59.8,332.2,390.8
24596,14.07.2022,19:32:47,0.778,91.0,0.922,2.01,0.95,364.2,66.0,69.8,55.1,425.0,602.7
24596,14.07.2022,18:48:26,0.908,94.1,0.863,2.93,0.85,424.1,71.8,92.1,48.8,478.3,845.4
24596,14.07.2022,17:03:57,0.974,87.4,0.82,2.72,0.89,436.9,47.2,99.6,91.8,398.5,517.5
24596,14.07.2022,17:54:07,0.957,88.5,0.888,3.89,0.94,421.4,53.1,66.2,56.7,255.2,733.9
24596,14.07.2022,18:15:16,0.975,93.5,0.886,3.89,0.89,364.9,51.5,66.8,47.7,140.9,480.2
24596,14.07.2022,19:17:46,0.848,87.2,0.97,3.55,0.79,416.6,60.6,53.0,41.5,338.4,397.8
24596,14.07.2022,21:15:18,0.727,91.1,0.859,3.34,0.79,343.1,71.0,38.0,88.1,328.0,816.1
24596,14.07.2022,18:51:51,0.839,88.3,0.764,2.86,0.87,435.8,77.4,41.1,60.5,1.1,323.8
24596,14.07.2022,18:55:40,0.726,89.8,0.982,3.01,0.86,400.9,62.9,48.8,46.8,60.7,666.2
24596,14.07.2022,17:35:34,0.781,95.3,0.885,3.09,0.88,422.3,47.7,61.9,81.9,124.0,495.0
24596,14.07.2022,15:13:03,0.815,98.3,0.963,2.99,0.89,402.2,62.0,98.1,96.0,168.4,782.5
24596,14.07.2022,15:55:02,0.958,99.3,0.867,2.78,0.78,378.6,69.6,50.8,45.3,471.1,716.6
24596,14.07.2022,19:00:36,0.852,85.5,0.853,3.88,0.77,344.3,63.6,74.1,97.9,467.1,556.6
24596,14.07.2022,23:40:29,0.852,94.0,0.881,3.7,0.75,381.9,50.7,57.2,98.8,260.9,923.5
24596,14.07.2022,19:38:26,0.964,96.0,0.931,3.64,0.83,401.9,54.7,84.3,95.9,208.2,785.4
24596,14.07.2022,22:48:51,0.834,98.5,0.896,2.81,0.88,371.5,64.7,26.1,54.3,337.5,769.6
24596,14.07.2022,18:07:24,0.804,99.8,0.913,2.15,0.87,408.6,50.9,38.8,61.6,160.4,422.6
24596,14.07.2022,22:42:02,0.741,94.5,0.947,2.54,0.92,427.4,64.3,88.7,92.6,165.8,772.6
24596,14.07.2022,22:46:48,0.799,93.1,0.776,2.5,0.79,356.8,73.1,49.4,88.0,343.9,455.2
24596,14.07.2022,17:19:39,0.769,89.6,0.752,3.89,0.86,337.7,50.9,90.1,92.6,124.8,660.4
24596,14.07.2022,15:10:00,0.777,98.3,0.971,2.32,0.76,349.1,63.0,24.4,88.1,358.6,758.7
24596,14.07.2022,23:29:53,0.874,99.8,0.955,3.6,0.79,387.2,64.3,87.4,84.7,451.0,329.4
24596,14.07.2022,16:53:37,0.858,89.1,0.991,3.71,0.81,369.9,66.0,97.6,72.6,256.6,381.4
24596,14.07.2022,18:30:54,0.859,87.5,0.863,2.96,0.99,332.6,74.5,52.0,85.4,60.7,682.8
24596,14.07.2022,20:37:31,0.796,89.4,0.903,3.91,0.97,427.2,67.1,35.1,66.8,447.1,319.6
24596,14.07.2022,19:11:58,0.746,86.6,0.778,3.59,0.94,418.2,52.4,20.6,54.4,94.1,595.7
24596,14.07.2022,21:30:51,0.935,98.9,0.996,3.1,0.94,423.2,64.8,56.6,84.9,103.6,829.9
24596,14.07.2022,21:03:27,0.777,99.4,0.902,3.1,1.0,373.3,61.7,53.7,63.4,364.7,293.6
24596,14.07.2022,14:21:07,0.737,92.0,0.798,3.12,0.89,430.6,76.8,82.6,44.6,233.9,514.3
24596,14.07.2022,14:48:41,0.874,95.6,0.874,3.84,0.95,368.9,72.6,80.1,57.2,393.8,328.3
24596,14.07.2022,17:33:57,0.945,86.2,0.909,3.72,0.95,421.3,71.2,85.1,66.1,91.5,416.3
24596,14.07.2022,16:56:31,0.747,96.2,0.947,2.12,0.81,349.7,45.6,66.9,75.1,39.9,423.2
24596,14.07.2022,17:55:12,0.806,87.0,0.986,2.54,0.94,354.6,67.0,86.8,47.5,380.9,470.2
24596,14.07.2022,23:49:15,0.952,94.4,0.897,2.49,0.84,380.3,47.8,94.4,63.6,391.9,610.9
24596,14.07.2022,15:21:07,0.933,90.5,0.889,2.29,0.85,392.5,71.0,76.6,49.3,397.5,513.9
24596,14.07.2022,16:31:46,0.769,95.0,0.927,2.55,0.76,369.7,48.5,94.1,49.8,391.4,773.5
24596,14.07.2022,22:41:49,0.853,86.4,0.784,2.41,0.83,348.8,67.9,45.5,73.3,321.0,773.8
24596,14.07.2022,21:40:46,0.934,87.9,0.906,2.79,0.97,401.1,75.3,94.5,42.1,218.8,643.9
24596,14.07.2022,18:27:07,0.771,95.1,0.765,2.37,0.82,360.7,66.0,32.9,43.7,203.1,661.3
24596,14.07.2022,17:54:50,0.999,90.6,0.922,3.32,0.97,405.8,65.6,42.2,88.5,357.6,723.6
24596,14.07.2022,13:18:37,0.922,89.7,0.763,2.53,0.94,386.0,52.6,82.0,66.5,446.1,897.8
24596,14.07.2022,14:23:32,0.908,99.6,0.983,3.99,0.76,432.5,61.0,35.8,46.2,48.9,282.4
24596,14.07.2022,18:43:10,0.901,91.6,0.767,2.91,0.84,338.4,57.6,40.4,99.0,349.2,798.9
24596,14.07.2022,15:05:10,0.913,86.5,0.793,2.64,0.79,371.3,78.3,89.1,85.0,103.4,568.4
24596,14.07.2022,13:03:55,0.772,89.9,0.848,3.52,0.78,428.2,64.8,29.4,96.1,289.8,930.9
24596,14.07.2022,15:41:12,0.798,99.8,0.806,3.91,0.78,435.7,49.7,95.3,87.2,130.1,505.0
24596,14.07.2022,15:47:39,0.782,88.1,0.96,2.49,0.76,379.8,40.7,52.3,88.3,157.2,769.2
24596,14.07.2022,19:22:59,0.783,99.1,0.767,3.32,0.89,360.6,74.2,69.1,47.1,179.0,738.4
24596,14.07.2022,17:38:49,0.834,89.1,0.89,2.83,0.79,380.1,40.4,26.8,80.2,64.6,556.4
24596,14.07.2022,21:10:16,0.787,87.5,0.777,2.44,0.96,437.7,67.9,71.3,76.6,67.4,272.6
24596,14.07.2022,17:55:16,0.892,93.5,0.991,3.93,0.82,433.0,60.7,40.4,92.3,61.0,419.9
24596,14.07.2022,20:20:47,0.972,96.7,0.771,2.36,0.9,434.6,42.7,73.5,98.0,261.5,659.5
24596,14.07.2022,17:59:35,0.994,85.6,0.792,3.53,0.81,411.5,56.6,87.4,84.0,68.1,364.6
24596,14.07.2022,21:06:52,0.889,93.5,0.876,2.34,0.82,418.9,69.3,33.0,64.5,172.1,770.5
24596,14.07.2022,19:17:41,0.951,86.0,0.921,2.73,0.99,404.5,64.7,93.2,78.6,320.3,695.9
24596,14.07.2022,16:00:32,0.824,89.5,0.936,3.5,0.79,338.4,77.6,49.6,41.1,264.8,522.8
24596,14.07.2022,18:42:11,0.979,95.7,0.844,3.28,0.86,395.1,67.4,38.6,52.9,146.1,505.1
24596,14.07.2022,14:51:10,0.977,88.0,0.756,3.05,0.86,357.1,43.3,32.6,42.2,166.5,307.8
24596,14.07.2022,14:30:37,0.71,95.7,0.825,3.59,0.82,336.6,61.4,21.9,84.1,38.2,720.1
24596,14.07.2022,20:58:36,0.937,96.1,0.86,2.63,0.92,406.0,63.2,70.9,54.3,196.2,569.5
24596,14.07.2022,23:01:44,0.799,94.7,0.9,2.5,0.95,358.2,62.2,58.1,40.5,359.9,502.7
24596,14.07.2022,20:58:21,0.947,95.5,0.916,3.31,0.92,432.8,47.9,45.6,75.9,151.9,907.5
24596,14.07.2022,23:30:54,0.878,88.6,0.944,2.96,0.91,393.6,79.8,53.6,47.5,73.7,406.9
24596,14.07.2022,17:10:52,0.737,99.3,0.78,3.61,0.87,396.6,40.5,75.2,58.6,76.7,473.1
24596,14.07.2022,18:18:27,0.762,88.8,0.941,2.54,0.9,431.7,50.9,61.5,96.0,115.1,790.5
24596,14.07.2022,13:18:58,0.924,94.2,0.829,3.98,0.98,395.3,59.4,41.6,75.6,444.9,339.5
24596,14.07.2022,17:07:42,0.976,92.1,0.956,3.07,0.76,365.0,56.9,93.5,47.7,399.9,867.0
24596,14.07.2022,15:53:22,0.822,91.0,0.789,3.41,0.86,361.9,59.0,26.0,51.3,180.1,592.4
24596,14.07.2022,23:23:21,0.865,96.4,0.975,2.84,1.0,389.6,44.0,49.9,43.6,279.5,769.0
24596,14.07.2022,16:56:21,0.722,95.8,0.993,2.46,0.92,371.5,42.9,24.1,86.7,312.7,668.9
24596,14.07.2022,16:02:43,0.703,96.0,0.906,3.71,0.97,363.7,53.4,81.8,46.0,381.9,929.7
24596,14.07.2022,14:58:04,0.747,85.9,0.824,2.52,0.84,411.0,67.2,53.0,88.8,269.2,885.2
24596,14.07.2022,19:48:37,0.84,98.7,0.796,2.3,0.88,356.0,48.1,47.7,87.1,323.0,651.9
24596,14.07.2022,18:33:50,0.897,89.0,0.824,2.21,0.81,428.2,44.3,32.4,92.7,337.8,557.9
24596,14.07.2022,18:41:13,0.812,96.3,0.884,3.62,0.85,397.5,44.1,83.6,96.9,451.5,519.2
24596,14.07.2022,23:26:50,0.967,89.7,0.972,3.11,0.77,368.9,66.9,27.6,94.7,254.9,289.9
24596,14.07.2022,18:01:47,0.944,87.9,0.807,3.2,0.97,365.4,64.9,87.8,82.4,239.0,488.1
24596,14.07.2022,17:48:47,0.827,95.2,0.778,2.72,0.99,333.7,62.2,46.5,64.2,298.1,945.7
24596,14.07.2022,22:39:38,0.808,95.1,0.995,3.52,0.98,372.9,42.1,60.6,48.8,26.6,671.7
24596,14.07.2022,18:11:14,0.958,98.7,0.898,3.99,0.87,437.5,66.4,82.6,71.4,418.6,403.7
24596,14.07.2022,22:07:53,0.822,87.2,0.872,3.42,0.99,367.3,70.1,47.9,59.2,295.8,828.6
24596,14.07.2022,17:26:19,0.726,96.1,0.792,2.34,0.94,424.8,51.3,38.8,87.0,237.2,473.7
24596,14.07.2022,14:24:21,0.975,98.8,0.805,2.46,0.88,350.9,71.1,78.0,55.5,260.8,508.0
24596,14.07.2022,22:41:30,0.787,97.7,0.804,2.32,0.76,436.7,72.5,53.5,48.6,227.1,809.4
24596,14.07.2022,13:53:33,0.922,91.1,0.98,3.49,0.97,432.8,79.4,64.2,48.7,175.5,915.6
24596,14.07.2022,17:46:27,0.936,99.4,0.952,3.37,0.96,417.1,47.1,85.0,56.2,327.1,688.0
24596,14.07.2022,23:40:34,0.763,95.8,0.768,2.52,0.91,384.1,63.9,53.4,54.9,107.6,929.4
24596,14.07.2022,17:33:09,0.923,96.1,0.959,2.93,0.93,437.1,45.0,68.1,65.9,393.7,537.0
24596,14.07.2022,21:50:28,0.927,96.5,0.884,2.58,0.93,395.4,63.8,71.2,99.1,143.8,796.2
24596,14.07.2022,17:41:51,0.739,86.3,0.94,3.97,0.85,390.9,63.0,79.6,69.7,204.1,760.3
24596,14.07.2022,23:44:27,0.743,96.5,0.928,3.73,0.79,367.4,77.9,80.0,41.0,231.3,821.6
24596,14.07.2022,15:40:16,0.789,91.9,0.915,3.51,0.82,433.4,44.7,47.8,46.4,0.7,948.4
24596,14.07.2022,18:26:55,0.981,87.0,0.979,3.2,0.87,366.1,51.7,29.2,65.4,422.2,948.2
24596,14.07.2022,13:12:15,0.924,86.2,0.923,3.06,0.92,401.0,41.2,44.2,56.4,59.0,540.4
24596,14.07.2022,15:01:50,0.995,93.9,0.857,3.42,0.88,374.1,73.5,66.8,80.1,319.0,830.4
24596,14.07.2022,16:53:11,0.786,90.5,0.973,2.97,0.98,363.5,74.8,77.0,56.8,169.4,326.9
24596,14.07.2022,17:09:25,0.915,97.5,0.839,3.97,0.95,371.1,58.2,27.2,57.6,73.2,508.4
24596,14.07.2022,23:41:15,0.751,97.0,0.831,3.68,0.79,333.0,43.0,66.7,92.7,412.1,279.5
24596,14.07.2022,18:26:02,0.888,96.8,0.802,3.08,0.79,377.1,47.4,80.8,63.5,249.3,451.0
24596,14.07.2022,23:04:30,0.89,97.5,0.975,3.02,0.95,399.7,66.9,49.3,76.8,305.3,522.1
24596,14.07.2022,18:56:49,0.856,99.4,0.952,2.48,0.83,352.4,79.1,76.4,66.6,312.9,630.6
24596,14.07.2022,13:06:17,0.866,90.9,0.759,2.07,0.88,391.6,55.4,63.3,56.9,199.1,475.1
24596,14.07.2022,14:48:23,0.919,89.8,0.956,2.73,0.92,389.0,67.6,58.1,53.5,188.0,317.2
24596,14.07.2022,14:24:16,0.997,94.1,0.796,2.15,0.93,335.4,55.9,65.6,42.1,258.8,285.8
24596,14.07.2022,14:28:10,0.961,89.1,0.853,3.07,0.9,343.1,61.4,96.3,67.0,348.2,429.7
24596,14.07.2022,15:50:15,0.8,98.4,0.771,2.18,0.94,354.6,66.3,54.8,65.2,366.2,892.5
24596,14.07.2022,22:15:01,0.73,96.9,0.794,2.9,0.81,435.0,49.6,35.8,98.1,351.4,565.3
24596,14.07.2022,22:07:13,0.802,86.0,0.995,3.95,0.94,417.6,55.5,84.3,56.9,33.2,744.3
24596,14.07.2022,22:42:44,0.913,92.7,0.949,3.5,0.77,418.2,75.3,53.8,58.0,99.5,879.0
24596,14.07.2022,23:22:06,0.791,94.5,0.904,2.1,0.99,431.2,44.1,22.3,65.8,34.0,697.4
24596,14.07.2022,21:32:49,0.89,96.4,0.983,3.81,0.78,428.6,48.0,95.4,44.4,266.7,334.9
24596,14.07.2022,20:14:58,0.938,90.8,0.882,2.81,0.83,403.9,42.9,32.3,66.9,274.5,426.6
24596,14.07.2022,22:56:16,0.996,95.6,0.844,3.86,0.93,368.1,48.3,43.9,71.6,470.3,463.1
24596,14.07.2022,13:09:45,0.979,87.2,0.803,3.25,0.88,434.4,41.5,38.3,88.8,443.6,539.3
24596,14.07.2022,13:37:02,0.786,88.1,0.978,3.84,1.0,423.3,51.5,98.9,89.1,396.3,502.1
24596,14.07.2022,17:27:00,0.746,85.6,0.865,3.83,0.79,331.3,46.6,56.9,71.6,402.7,654.8
24596,14.07.2022,13:21:30,0.795,86.1,0.946,2.26,0.9,398.0,74.5,58.8,62.0,77.9,516.4
24596,14.07.2022,13:02:42,0.815,90.6,0.907,2.33,0.89,337.9,45.7,70.8,85.1,28.7,308.7
24596,14.07.2022,14:37:08,0.848,95.6,0.86,2.3,0.82,386.1,61.0,31.7,97.9,421.3,468.2
24596,14.07.2022,23:06:32,0.705,94.6,0.863,2.8,0.92,349.7,42.6,26.8,59.1,210.8,939.5
24596,14.07.2022,16:13:50,0.912,89.9,0.788,3.5,0.84,438.7,77.5,92.4,96.9,282.1,587.5
24596,14.07.2022,18:02:39,0.773,97.8,0.8,3.65,0.89,397.6,55.3,65.5,81.8,160.7,823.7
24596,14.07.2022,15:32:00,0.86,98.5,0.99,3.66,0.81,358.0,78.2,60.8,57.8,124.8,899.2
24596,14.07.2022,22:06:02,0.938,91.0,0.986,2.21,0.89,393.6,61.5,93.6,74.5,246.1,875.5
24596,14.07.2022,14:05:35,0.813,85.6,0.863,2.05,0.83,349.4,54.1,31.7,79.4,179.3,615.4
24596,14.07.2022,15:02:47,0.863,91.8,0.755,3.64,0.88,340.9,70.7,70.2,49.9,348.9,728.9
24596,14.07.2022,20:57:37,0.954,88.4,0.83,3.95,0.95,344.5,59.5,62.7,66.2,273.3,384.5
24596,14.07.2022,19:09:13,0.875,94.3,0.823,3.62,0.82,356.2,44.8,59.2,85.3,460.1,304.3
24596,14.07.2022,18:13:00,0.8,91.4,0.96,3.18,0.9,347.3,73.3,91.5,72.2,41.7,926.0
24596,14.07.2022,13:55:23,0.713,99.2,0.895,2.3,0.81,424.3,78.7,78.6,51.7,64.9,539.2
24596,14.07.2022,22:11:33,0.994,97.5,0.944,3.72,0.77,413.1,46.1,87.6,78.6,222.2,424.6
24596,14.07.2022,20:33:51,0.836,92.9,0.881,2.47,0.86,435.6,52.6,65.1,63.8,38.0,511.9
24596,14.07.2022,22:44:55,0.996,87.4,0.998,2.53,0.81,394.5,71.7,50.5,64.9,359.7,325.0
24596,14.07.2022,18:21:03,0.742,89.2,0.946,2.03,0.91,438.8,52.3,54.8,71.7,56.3,805.8
24596,14.07.2022,21:30:49,0.788,99.2,0.906,3.8,0.82,340.5,56.4,59.0,71.8,191.4,721.7
24596,14.07.2022,22:02:13,0.866,92.0,0.962,3.39,0.95,364.3,73.4,78.9,86.5,140.7,570.9
24596,14.07.2022,15:33:12,0.733,85.2,0.885,3.24,0.89,405.1,54.9,87.3,91.7,324.9,740.1
24596,14.07.2022,20:22:07,0.908,94.3,0.901,3.91,0.98,423.7,40.3,50.2,64.6,105.2,785.9
24596,14.07.2022,13:42:31,0.998,96.2,0.832,3.67,0.75,331.1,42.3,51.3,63.6,163.3,354.6
24596,14.07.2022,16:42:29,0.872,95.8,0.944,3.73,0.87,379.0,75.7,74.8,45.8,65.5,586.5
24596,14.07.2022,18:47:58,0.819,89.1,0.914,3.21,0.87,386.7,69.1,73.0,46.9,318.6,309.7
24596,14.07.2022,19:23:30,0.884,96.9,0.821,3.1,0.76,429.1,50.5,89.5,51.9,56.3,887.1
24596,14.07.2022,20:48:41,0.969,90.3,0.867,3.46,1.0,382.4,74.7,77.5,86.2,388.1,308.5
